1;Вейкборд Wake park pro;"Трехступенчатый гибридный рокер
Winged Rail Shape - Максимальный контроль от ботинок к самой доске.
Эксклюзивное граиндовое покрытие LF
Molded in Deep, Canted Long Based Side Fins - Низкий профиль доски дает очень позитивную управляемость";красный, синий, желтый;10880 руб
2;Вейкборд Harley LTD 2014;"Ограниченная серия вейкбордов Liquid Force c флюоресцентной расцветкой. Но яркие цвета - не единственное преимущество этой доски: трёхступенчатый рокер обеспечит отличный щелчок на вершине волны, в то время как тройной конкейв мягко поддержит во время приводнения.
Уровень катания: от среднего до продвинутого
Усиленное покрытие из стекловолокна
Тройной конкейв (triple concave)
Агрессивный трёхступенчатый рокер 
Боковые стенки обеспечивают высочайшую прочность доски при парковом катании и уверенное, плавное скольжение по рейлам";;16730 руб.
3;Вейкборд B.O.B. 2013;"Liquid Force B.O.B. - представляем вам следующее поколение модели PRO. Новая форма доски собрала в себе массу новых технологий, эти инновационные особенности делают доску буквально живой! Одна поездка на B.O.B. и вы почувствуете разницу. Если вы, как  BOB Soven, и вы ждали, доску нового уровня, не похожую не на что другое, ваше ожидание официально закончилось!
 
5-ступенчатый рокер даст вам то- что 3 ступенчатый не сможет дать, а именно, благодаря ""своей плавности"" и наличия дополнительных линий преломления, ""эффект торможения"" попросту отсутствует при вылетах на этом вейкборде!
Боковые стенки  LF LIQUID RAIL  сделаны из эластомера – специального пластика, обеспечивающего высочайшую прочность доски при парковом катании и уверенное, плавное скольжение по рейлам!
Резьба М6. Обеспечивает более жесткую, более надежную фиксацию креплений.
Обработанные на станке с ЧПУ тройные деревянные стрингеры обеспечивают непревзойденную прочность и прогнозируемый флекс, в то время как полиуретан обеспечивает сердечнику минимальный вес.";;20540 руб
4;Вейкборд Dream Grind 2014;"Доска, сделанная специально для девушек, которые учатся и прогрессируют в вейкборде. Fury Grind это комфортная и прощающая ошибки доска, которая при этом сохраняет испытанные качества для развития навыков вейкбординга.
3х ступенчатый рокер. Агрессивный
Double Concave with Edge Channels - Двойной конкейв с каналами
Lifted Variable Edge Rail - Более плавный центр ( закругленный ) для прощения ошибок
Short Based Molded In Fins - Более мягкий и подходящий для самого молодого поколения
Эксклюзивная граиндовая база LF";;11120 руб
5;Вейкборд Liquid Force Jett Grind 2014;Это доска идеально подходит для той девушки, которая не стоит на месте, а постоянно прогресирует. 3-уровневый гибридный рокер Jett увеличил популярность ollie, ведь с этим рокером его делать действительно гораздо проще. Эта доска была построена для успеха.;;15 840 руб.
6; Вейкборд Slingshot Shredtown 2013 (139 см);Если Вы прогрессируете и выходите за свои пределы, то и матчасть не должна отставать! В этом сезоне Shredtown стал немного шире, что дает Вам преимущество в парке, а увеличенная площадь поверхности лучше поглотит удар при высоких приземлениях. Также сердечник стал тоньше, что увеличило гибкость.;;18 980 руб.
7;Кайт Серф борд Slingshot 2015 Tyrant;"ХИТ- самый универсальный и востребованный кайтовый серфборд!
Новый в 2015 году Tyrant – это современная, отточенная доска для серфинга на каждый день. Новая круглая корма thumb и новый одинарный, переходящий в двойной конкейв обеспечивает доске стабильность с невероятными характеристиками в любой волне.";;56900.00 руб.
8;Вейкборд Hyperlite Union ss14;60-градусная конструкция ABS боковин позволяет обеспечить защиту от ударов, а полностью спеченный скользяк Enduro предлагает нашу самую прочную рабочую поверхность на сегодняшний день. Форма вейкборда Union создана на непрерывном рокере, который обеспечивает отличный «щелчок» и быстрый набор скорости на волну. Особенность тонкой базы позволяет этой серии создать хваткие канты и при этом отличный контакт на перилах. ;;28000 руб
9;Вейкборд Liquid force Jett Grind 2014;"Это доска идеально подходит для той девушки,  которая не стоит на месте, а постоянно прогресирует. 3-х ступенчатый гибридный рокер Jett увеличил популярность ollie, ведь с этим рокером его делать действительно гораздо проще. Эта доска была построена для успеха.
Эксклюзивный скользяк LF GRIND BASE - Скользяк доски усилен супер-прочным пластиком LF Grind, предотвращающим ускоренный износ доски при катании по рейлам и в парке";;13770 руб.
10;ВЕЙКБОРД ATTITUDE 139 С КРЕПЛЕНИЯМИ;;;9 795 руб.
